EMPIRE_BM_TECH_1,帝国テクノロジーレベル 1 で入手可能な闇市場アイテムです。
MP_TEXT_ENCYCLOPEDIA_COMM_ARRAY_00,軌道上のセンサーから戦場の情報をリアルタイムで入手し、 解読する。 センサーが破壊されたり、 動力が失われた場合は、 レーダー表示が機能しなくなる。
MP_TEXT_ENCYCLOPEDIA_COMM_ARRAY_EMPIRE_PAD_00,帝国軍のコム・アレイを建設する場合にクリックします。
MP_TEXT_ENCYCLOPEDIA_COMM_ARRAY_REBEL_PAD_00,反乱軍のコム・アレイを建設する場合にクリックします。
MP_TEXT_ENCYCLOPEDIA_COMMAND_CENTER_EMPIRE_00,あらゆる地上活動の中心地である帝国軍の司令センターは、 邪悪で脅威的な存在である。 司令センターは、 ヒーローのユニットを補充する権限を持つ。
MP_TEXT_ENCYCLOPEDIA_COMMAND_CENTER_EMPIRE_01,アップグレード: 技術レベル 1-3
MP_TEXT_ENCYCLOPEDIA_COMMAND_CENTER_PAD_EMPIRE_00,帝国軍の司令センターを建設する場合にクリックする。
MP_TEXT_ENCYCLOPEDIA_COMMAND_CENTER_PAD_REBEL_00,反乱軍の司令センターを建設する場合にクリックします。
MP_TEXT_ENCYCLOPEDIA_COMMAND_CENTER_REBEL_00,反乱軍の地上部隊における作戦遂行の中核をなす組織。 司令センターは、 ヒーローのユニットを補充する権限を持つ。
MP_TEXT_ENCYCLOPEDIA_COMMAND_CENTER_REBEL_01,アップグレード: 技術レベル 1-3
MP_TEXT_ENCYCLOPEDIA_DEFENSE_SAT_DBM_PAD_00,クリックすることでダイヤモンド・ボロン弾を発射するミサイル衛星の建設が行える。
MP_TEXT_ENCYCLOPEDIA_DEFENSE_SAT_LASER_00,ファイターおよびコルヴェット艦に対し、 宇宙外縁部を防衛する目的で設計された多目的レーザー・プラットフォーム。
MP_TEXT_ENCYCLOPEDIA_DEFENSE_SAT_LASER_PAD_00,レーザー防御衛星を建設する場合にクリックします。
MP_TEXT_ENCYCLOPEDIA_DEFENSE_SAT_MISSILE_00,コルヴェット艦およびフリゲート艦に対し、 宇宙外縁部を防衛する目的で設計された多目的ミサイル・プラットフォーム。
MP_TEXT_ENCYCLOPEDIA_DEFENSE_SAT_MISSILE_PAD_00,ミサイル防御衛星を建設する場合にクリックします。
MP_TEXT_ENCYCLOPEDIA_DEFENSE_SAT_PLASMA_PAD_00,クリックすればプラズマ・バースト衛星が建造可能だ
MP_TEXT_ENCYCLOPEDIA_DROID_WORKS_UNDERWORLD_PAD_00,クリックしてザン・コンソーシアム用ドロイド製造施設を建造しよう
MP_TEXT_ENCYCLOPEDIA_HEAVY_FACTORY_EMPIRE_00,条件ユニット: 2-M リパルサー・タンク、 SPMA-T、 AT-AT
MP_TEXT_ENCYCLOPEDIA_HEAVY_FACTORY_EMPIRE_01,アップグレード: 重反射アーマー、 改良型 AT-AT リアクター
MP_TEXT_ENCYCLOPEDIA_HEAVY_FACTORY_EMPIRE_PAD_00,帝国軍の重車両工場を建設する場合にクリックします。
MP_TEXT_ENCYCLOPEDIA_HEAVY_FACTORY_REBEL_00,条件ユニット: MPTL 砲、 T4-B タンク
MP_TEXT_ENCYCLOPEDIA_HEAVY_FACTORY_REBEL_01,アップグレード: 重アーマー、 T4-B のダメージ増加、 改良型トレッド
MP_TEXT_ENCYCLOPEDIA_HEAVY_FACTORY_REBEL_PAD_00,反乱軍の重車両工場を建設する場合にクリックします。
MP_TEXT_ENCYCLOPEDIA_LIGHT_FACTORY_EMPIRE_00,条件ユニット: AT-ST、 TIE モーラー、 AT-AA
MP_TEXT_ENCYCLOPEDIA_LIGHT_FACTORY_EMPIRE_01,アップグレード: 軽反射アーマー、 強化リアクター
MP_TEXT_ENCYCLOPEDIA_LIGHT_FACTORY_EMPIRE_PAD_00,帝国軍の軽車両工場を建設する場合にクリックします。
MP_TEXT_ENCYCLOPEDIA_LIGHT_FACTORY_REBEL_00,条件ユニット: T2-B タンク、 スピーダー
MP_TEXT_ENCYCLOPEDIA_LIGHT_FACTORY_REBEL_01,アップグレード: 軽アーマー、 強化リパルサー
MP_TEXT_ENCYCLOPEDIA_LIGHT_FACTORY_REBEL_PAD_00,反乱軍の軽車両工場を建設する場合にクリックします。
MP_TEXT_ENCYCLOPEDIA_MERCHANT_SPACE_DOCK_00,独自のユニットを割引価格で提供する。
MP_TEXT_ENCYCLOPEDIA_MERCHANT_SPACE_DOCK_01,ユニット: ヴェナター級クルーザー、 迎撃フリゲート、 IPV パトロール艦、 パイレート・ファイター
MP_TEXT_ENCYCLOPEDIA_MINING_00,鉱石や貴重鉱物を掘りだし、 現金に換える。
MP_TEXT_ENCYCLOPEDIA_MINING_01,アップグレード: 生産能力の増加
MP_TEXT_ENCYCLOPEDIA_MINING_EMPIRE_PAD_00,採鉱施設を建設する場合にクリックします。
MP_TEXT_ENCYCLOPEDIA_MINING_REBEL_PAD_00,採鉱施設を建設する場合にクリックします。
MP_TEXT_ENCYCLOPEDIA_PALACE_PAD_UNDERWORLD_00,クリックすればザン・コンソーシアム王宮が建造可能だ
MP_TEXT_ENCYCLOPEDIA_POWER_GENERATOR_00,シールド・ジェネレーター、 コム・アレイ、 採鉱施設、 ターボレーザーに電力を供給する。 破壊された場合、 シールドは機能しなくなり、 さらにターボレーザーやレーダーも停止し、 鉱山の生産も限られる。
MP_TEXT_ENCYCLOPEDIA_POWER_GENERATOR_EMPIRE_PAD_00,帝国軍のパワー・ジェネレーターを建設する場合にクリックします。
MP_TEXT_ENCYCLOPEDIA_POWER_GENERATOR_REBEL_PAD_00,反乱軍のパワー・ジェネレーターを建設する場合にクリックします。
MP_TEXT_ENCYCLOPEDIA_RESEARCH_00,独自の防御および攻撃のアップグレードが可能になる。
MP_TEXT_ENCYCLOPEDIA_RESEARCH_01,アップグレード: 爆撃航程、 強化建物、 防御力の向上
MP_TEXT_ENCYCLOPEDIA_RESEARCH_EMPIRE_PAD_00,帝国軍研究センターを建設する場合にクリックしてください。
MP_TEXT_ENCYCLOPEDIA_RESEARCH_REBEL_PAD_00,反乱軍研究センターを建設する場合にクリックしてください。
MP_TEXT_ENCYCLOPEDIA_RESOURCE_PAD_00,追加の独自収入源となる。
MP_TEXT_ENCYCLOPEDIA_RESOURCE_PAD_EMPTY_00,リソース・パッドを建設する場合にクリックします。 稼動時には、 チームに追加収入がもたらされます。
MT_LAND_PLANET_ALZOCIII_INTIMIDATION,食糧局長を威圧する
MT_LAND_PLANET_ANAXES_INTIMIDATION,アナクセスの名家を威圧する
MT_LAND_PLANET_BESTINE_KIDNAPPING,ラル・ファラン司令官を誘拐する
MT_LAND_PLANET_BOTHAWUI_INTIMIDATION,インティミデート・ポロ・セラブ
MT_LAND_PLANET_BYSS_KIDNAPPING,キリス知事を誘拐する
MT_LAND_PLANET_CARIDA_KIDNAPPING,ダルケン・ホルを誘拐せよ
MT_LAND_PLANET_DANTOOINE_INTIMIDATION,地元の農家を威嚇する
MT_LAND_PLANET_FELUCIA_TUTORIAL,フェルーシア
MT_LAND_PLANET_HONOGHR_INTIMIDATE,ノーグリを威圧する
MT_LAND_PLANET_HONOGHR_INTIMIDATE_STORY,ノーグリを威圧する
MT_LAND_PLANET_KUAT_KIDNAPPING,ベヴェル・レメリスクを誘拐する
MT_LAND_PLANET_MUUNILINST_KIDNAPPING,サン・ヒル議長を誘拐する
MT_LAND_PLANET_NABOO_INTIMIDATION,アルナマ議長を威圧する
MT_LAND_PLANET_NALHUTTA_KIDNAPPING,宇宙港の責任者を誘拐する
MT_LAND_PLANET_SALEUCAMI_INTIMIDATION,クーン・イース総督を威圧する
MT_LAND_PLANET_SHOLA_02,[TBL]
MT_LAND_PLANET_TARIS_INTIMIDATION,トゥイッチを威嚇する
MT_LAND_PLANET_THYFERRA_KIDNAPPING,ウンガー・ダリスを誘拐する
MT_LAND_PLANET_UTAPAU_KIDNAPPING,ガーナック・フェイを誘拐する
MT_SPACE_PLANET_AETENII_PIRACY,エーテンIIでの海賊行為
MT_SPACE_PLANET_BESPIN_PIRACY,ティバナ・ガス輸送船を襲撃する
MT_SPACE_PLANET_BESPIN_PIRACY_STORY,ティバナ・ガス輸送船を襲撃する
MT_SPACE_PLANET_CORELLIA_PIRACY,コレリア上空の軌道衛星を襲撃する
MT_SPACE_PLANET_CORULAG_PIRACY,コルラグ・システムを襲撃する
MT_SPACE_PLANET_FELUCIA_TUTORIAL,フェルーシア
MT_SPACE_PLANET_FONDOR_PIRACY,軌道戦闘ステーションを破壊する
MT_SPACE_PLANET_KESSEL_PIRACY,ケッセルの通信衛星を破壊する
MT_SPACE_PLANET_MANDALORE_PIRACY,マンダル・ハイパーノーティクスの輸送船団を襲撃する
MT_SPACE_PLANET_MANDALORE_PIRACY_PROLOGUE,マンダロアの最高戦略家を倒す
MT_SPACE_PLANET_MANDALORE_PIRACY_STORY,マンダル・ハイパーノーティクスの輸送船団を襲撃する
MT_SPACE_PLANET_MONCALAMARI_PIRACY,モン・カラマリの造船所を襲撃する
MTEM02_AN_ORGANIZED_RESISTANCE,組織化された抵抗勢力
MTEM03_THE_PIRATE_MENACE,海賊のメナス
MTEM04_SPACE_PLANET_GEONOSIS,ゲオノーシスの支配
MTEM05_ATTACK_ON_MON_CALAMARI,モン・カラマリへの攻撃
MTEM06_TROUBLE_ON_KASHYYYK,キャッシークの災い
MTEM09_A_NEW_WEAPON_OF_WAR,新たなる兵器、 戦場へ
MTEM13_ERRAND_WITH_THE_EMPEROR,皇帝との交戦
MTEM14_CAPTURING_A_PRINCESS,レイア姫の捕獲
MTEM15_THE_DESTRUCTION_OF_ALDERAAN,オルデラーンの破壊
MTEXECUTIVE_TACTICAL_DEMO,[TBL]
MTEXECUTIVE_TACTICAL_DEMO1,[TBL]
MTRM01_SPACE_PLANET_KUAT,造船所陽動作戦
MTRM02_INTERPRETING_THE_NETWORK,ネットワークの傍受
MTRM03_THEFT_OF_THE_X-WING,X ウィングの奪取
MTRM04_KESSEL_RESCUE,ケッセル救出作戦
MTRM06_IMPERIAL_LIBERATION,帝国からの解放
MTRM07_HIGHEST_BIDDER,最高入札者
MTRM07A_RESCUE_FALCON,ミレニアム・ファルコンを救出せよ
MTRM08A_CARGO_WOES,無駄骨折り
MTRM09_BORROWED_TIME,天から与えられた時間
MTRM09_LOST_AND_FOUND,取扱に注意!
MTTM00_GALACTIC,ギャラクティック・モードの紹介
MTTM01_GAINING_GROUND,地歩を固める
MTTM02_SCRAMBLE,スクランブル
MTTM03_EMPIRE_AT_WAR,エンパイア・アット・ウォー
MTTM04_IMPERIAL_NOOSE,帝国軍の罠
MTTM05_IMPERIAL_POLICY,帝国の政策
MTTM06_LAND_MULTIPLAYER,地上小戦闘モード ( ノンインタラクティブ )
MTTM07_SPACE_MULTIPLAYER,宇宙小戦闘モード ( 非双方向 )
MTUM01_A_CRIMELORD_UNLEASHED,解き放たれた犯罪王
MTUM02_REMNANTS_OF_THE_DEATH_STAR,デス・スターの残骸
MTUM03_COMMUNICATIONS_BREAKDOWN,通信途絶
MTUM04_VISIONS_OF_THE_PAST,過去の幻影
MTUM06_DARK_ALLY,闇の同盟者
MTUM07_CLOUD_CITY_CONFLICT,クラウド・シティの抗争
MTUM08_REBEL_EVICTION,[TBL]
MTUM09_BAITING_THE_HOOK,罠を仕掛ける
MTUM11_RAIDERS_OF_THE_LOST_HOLOCRON,アーティファクトの追跡
MTUM12_TEST_MISSION_TWELVE,[TBL]
MTUM12_THE_EMPERORS_NEW_WEAPON,皇帝の新たな兵器
PHASE 2 LINES,[TBL]
REBEL_BM_TECH_1,反乱軍の技術レベル 1 で利用可能な闇市場のアイテム。
REBEL_BM_TECH_2,反乱軍の技術レベル 2 で利用可能な闇市場のアイテム。
REBEL_BM_TECH_3,反乱軍の技術レベル 3 で利用可能な闇市場のアイテム。
REBEL_BM_TECH_4,反乱軍の技術レベル 4 で利用可能な闇市場のアイテム。
REBEL_BM_TECH_5,反乱軍の技術レベル 5 で利用可能な闇市場のアイテム。
TEXT_3D_AUDIO_TECH_INIT_FAILURE_1,選択された 3D オーディオ機能は初期化されませんでした
TEXT_3D_AUDIO_TECH_INIT_FAILURE_2,この機能は、 お使いのコンピューターのシステム環境ではサポートされていません。
TEXT_3D_AUDIO_TECH_INIT_SUCCESS_1,選択された 3D オーディオ機能は初期化されました
TEXT_3D_AUDIO_TECH_INIT_SUCCESS_2,( 注意: これにより、 コンピューターがシャットダウンして現在のゲームが強制終了する可能性があります )
TEXT_A_LONG_TIME_AGO,遠い昔、はるか彼方の銀河系で・・・
TEXT_A_WING_SQUADRON,A ウィング中隊
TEXT_ABILITIES_DEFAULT_TO_AUTOFIRE,アビリティが自動的に発動します
TEXT_ABILITY_SLOT_BLACK_MARKET,買う
TEXT_ABILITY_SLOT_CORRUPT_PLANET,腐敗を広める
TEXT_ABILITY_SLOT_HACK_SUPER_WEAPON,デス・スターを破壊せよ
TEXT_ABILITY_SLOT_NEUTRALIZE_HERO,ヒーロー制圧
TEXT_ABILITY_SLOT_RAID,襲撃
TEXT_ABILITY_SLOT_REMOVE_CORRUPTION,汚職を排除する
TEXT_ABILITY_SLOT_SABOTAGE,破壊工作
TEXT_ABILITY_SLOT_SIPHON_CREDITS,クレジットを盗む
TEXT_ABILITY_SLOT_SLICE,盗む
TEXT_ABILITY_SLOT_SPY,スパイ
TEXT_ACTIVE,アクティブ
